yaw: -172.6144440012564, pitch: 28.240294619867594, roll: -3.162643258715589
yaw: -177.1885934491045, pitch: 28.66789298030724, roll: -2.9067940373399668
yaw: -170.94650548192968, pitch: 26.15492409354557, roll: 5.164028802912504
yaw: -170.52233679168842, pitch: 26.92478256637267, roll: 6.123102339220237
yaw: -171.45074246770704, pitch: 27.950651623418484, roll: 6.369524360865567
yaw: -171.7262872702394, pitch: 28.189688514810342, roll: 6.128851009266898
yaw: -169.70558111760525, pitch: 27.853025499359358, roll: 6.471355219389275
yaw: -170.11359782224307, pitch: 29.2622511885232, roll: 6.678864574090913
yaw: -170.79110800641286, pitch: 29.707135894115844, roll: 6.354339013748964
yaw: -170.52077409042053, pitch: 29.77941637763713, roll: 6.263215760544689
yaw: -170.79547891006277, pitch: 30.551407285685784, roll: 5.778039095063787
yaw: -171.229816075987, pitch: 31.549333082785246, roll: 5.305697058869548
yaw: -169.78688129028797, pitch: 31.98243519376226, roll: 5.224134526419587
yaw: -170.6961115332569, pitch: 34.31313913278761, roll: 4.54806318443527
yaw: -168.11525475169833, pitch: 32.98071758233898, roll: 9.010182747664814
yaw: -165.06550875074961, pitch: 31.911367693398546, roll: 14.01404659983728
yaw: -163.39815506174676, pitch: 25.34814007338002, roll: 17.5411057704893
yaw: -164.41140464918527, pitch: 25.70855977312035, roll: 17.96053254727157
yaw: -165.51660540735128, pitch: 26.2062451833067, roll: 18.18642567271004
yaw: -165.73575103510987, pitch: 25.468220086336906, roll: 18.161869776501753
yaw: -166.1249473005815, pitch: 26.19067217730021, roll: 18.146112917030536
yaw: -166.27964773853145, pitch: 26.53693069293694, roll: 17.98569932438396
yaw: -166.4735215146631, pitch: 26.259695546324455, roll: 17.237960648266554
yaw: -166.67337174041626, pitch: 26.12951847974736, roll: 16.54361237964911
yaw: -167.58184052089885, pitch: 26.471914135582146, roll: 15.909549817883418
yaw: -168.83268249719234, pitch: 26.263748469806572, roll: 15.441937393543688
yaw: -168.61850820458343, pitch: 27.006401647013305, roll: 15.697713539649932
